period,drawdown
2018-02-13,0.0
2018-03-02,-0.02962805
2018-03-06,-0.03205518
2018-03-07,-0.01654209
2018-03-08,-0.02448693
2018-03-12,0.0
2018-03-13,0.0
2018-04-18,-0.01336689
2018-04-19,-0.02119087
2018-04-25,-0.03140698
2018-04-26,-0.048041
2018-04-27,-0.02634707
2018-05-01,-0.01028456
2018-05-21,0.0
2018-05-23,0.0
2018-05-25,0.0
2018-06-01,0.0
2018-07-06,-0.01293864
2018-08-22,-0.0252168
2018-08-24,0.0
2018-08-30,0.0
2018-08-31,-0.02168227
2018-09-06,-0.06987649
2018-09-18,-0.06100718
2018-09-25,-0.01306262
2018-09-26,0.0
2018-10-03,-0.00572662
2018-10-29,0.0
2018-10-30,0.0
2018-11-08,-0.0521612
2018-11-09,-0.05674402
2018-11-12,-0.07165169
2018-11-21,-0.05613362
2018-11-23,-0.13552949
2018-11-26,-0.17248296
2018-11-27,-0.18607369
2018-11-28,-0.17981398
2018-11-29,-0.22256501
2018-12-04,-0.25342723
2018-12-19,-0.28572616
2018-12-20,-0.30382412
2019-01-04,-0.34250301
2019-01-07,-0.37124423
2019-01-22,-0.36229201
2019-01-24,-0.30573123
2019-01-28,-0.29122521
2019-02-04,-0.26721147
2019-02-20,-0.27483479
2019-02-27,-0.26300043
2019-03-01,-0.26543145
2019-03-04,-0.27257472
2019-03-05,-0.27402014
2019-04-01,-0.28475814
2019-04-17,-0.28362134
2019-04-22,-0.28978165
2019-05-03,-0.30184763
2019-05-06,-0.3168519
2019-05-24,-0.33444943
2019-05-30,-0.3522887
2019-05-31,-0.38626094
2019-06-12,-0.39144701
2019-06-26,-0.39456621
2019-07-02,-0.3553995
2019-08-23,-0.37501972
2019-08-26,-0.39204668
2019-08-29,-0.39471586
2019-09-04,-0.39315392
2019-09-09,-0.41661559
2019-09-13,-0.41497463
2019-09-17,-0.40178228
2019-09-18,-0.40118028
2019-11-22,-0.39164177
2019-11-25,-0.39552739
2020-01-28,-0.40459706
2020-02-12,-0.3405245
2020-03-02,-0.3580203
2020-03-03,-0.3735211
2020-03-04,-0.38738157
2020-03-05,-0.42365899
2020-03-06,-0.43804695
2020-03-17,-0.4847525
2020-03-24,-0.6494034
2020-03-25,-0.72161244
2020-03-27,-0.84615567
2020-03-30,-0.8565138
2020-03-31,-0.96891716
2020-04-01,-1.05217563
2020-04-02,-1.09029779
2020-04-03,-1.12598674
2020-04-07,-1.16266223
2020-04-08,-1.21066792
2020-04-09,-1.21626855
2020-04-13,-1.0351311
2020-04-14,-0.98862372
2020-04-15,-0.69428304
2020-04-16,-0.5509879
2020-04-17,-0.36721472
2020-04-20,-0.25905694
2020-04-21,-0.21798234
2020-04-23,-0.09342978
2020-04-27,-0.08581285
2020-05-06,-0.06367387
2020-05-29,-0.04389109
2020-06-02,-0.00678704
2020-06-16,-0.00398004
2020-06-19,-0.0057918
2020-07-13,0.0
2020-07-28,0.0
2020-08-04,0.0
2020-08-10,-0.02047485
2020-08-18,-0.02262525
2020-08-20,0.0
2020-08-21,0.0
2020-08-24,0.0
2020-08-27,0.0
2020-08-31,0.0
2020-09-01,-6.969e-05
2020-09-02,0.0
2020-09-04,0.0
2020-09-11,0.0
2020-09-16,0.0
2020-09-22,-0.02348718
2020-09-25,-0.05639153
2020-09-30,-0.08580507
2020-10-05,-0.17257847
2020-10-07,-0.14878314
2020-11-10,-0.16710214
2020-11-27,-0.15540156
2020-12-01,-0.12617236
2020-12-04,-0.14586818
2020-12-09,-0.16163436
2020-12-10,-0.16694845
2020-12-17,-0.09924336
2020-12-18,-0.04041847
2021-01-15,-0.04909645
2021-01-21,-0.02330331
2021-02-05,-0.01903938
